gateway,gateway_document_number,gateway_name
WUDI PAY CORRESPONDENTE DE INSTITUICAO FINANCEIRA LTDA | 18490448000104,18490448000104,WUDI PAY CORRESPONDENTE DE INSTITUICAO FINANCEIRA LTDA
HUB GAMING ENTRETENIMENTOS LTDA | 572c1683-5bfc-4a60-9b79-f8eeae5d8aac,57664438000191,HUB GAMING ENTRETENIMENTOS LTDA
Brapay Negócio é participação LTDA | 49138107000190,49138107000190,Brapay Negócio é participação LTDA
Oig Gaming Brazil Ltda | ca0a8130-713a-4bfb-b4d2-208d3c5cb1a9,55459453000172,Oig Gaming Brazil Ltda
LISBOAPAY FACILITADORA DE PAGAMENTOS LTDA | ba2661dc-1746-4dbf-a830-23599807090d,41433374000188,LISBOAPAY FACILITADORA DE PAGAMENTOS LTDA
SOFFTPAY FINANCAS LTDA | dae8adc1-2ea5-4d84-8ba3-07515b1fdc40,56906952000123,SOFFTPAY FINANCAS LTDA
ZAM PAGO LTDA | 55864115000116,55864115000116,ZAM PAGO LTDA
BLISS PAGAMENTOS LTDA | 2c35ff6d-cb26-46f3-ac35-5e268f4b3286,31172740000139,BLISS PAGAMENTOS LTDA
BLISS PAGAMENTOS LTDA | 82fcdbe4-6bc1-4c76-98d7-8de427372723,31172740000139,BLISS PAGAMENTOS LTDA
BLISS PAGAMENTOS LTDA | c568efca-1b6f-43a6-9116-aca2b8c7768a,31172740000139,BLISS PAGAMENTOS LTDA
BLISS PAGAMENTOS LTDA | df75735e-572f-4836-a759-d17d025ad42b,31172740000139,BLISS PAGAMENTOS LTDA
BLISS PAGAMENTOS LTDA | e3d3b122-5b7c-454d-994d-97431ed68e7b,31172740000139,BLISS PAGAMENTOS LTDA
BLISS PAGAMENTOS LTDA | fd53f247-cd72-41b7-8421-95e9ee6b81a9,31172740000139,BLISS PAGAMENTOS LTDA
Bbn Pay Ltda                                       | 35f453df-64f3-45b6-b4c8-e7405bf913cf,55977537000106,Bbn Pay Ltda
FOREST PAY LTDA | bb88f442-681b-4ef6-b2fa-8cc287cd3226,53341159000136,FOREST PAY LTDA
HKPPAY PAGAMENTOS E COBRANCAS LTDA | 9dbeb96a-5d2f-447e-b115-a10141a3a3bd,55527975000164,HKPPAY PAGAMENTOS E COBRANCAS LTDA
LISBOAPAY FACILITADORA DE PAGAMENTOS LTDA | 8c237d20-1f12-4faf-807c-ad4f291f2aed,41433374000188,LISBOAPAY FACILITADORA DE PAGAMENTOS LTDA
SECURE LINK | 9bc80c09-6f88-4426-be7f-c45baceb25f3,53733396000142,SECURE LINK
YAYA PAGO TECNOLOGIA LTDA | 7396a5a8-dced-41e7-8c73-6448f2c1aa76,57693987000194,YAYA PAGO TECNOLOGIA LTDA
ZALS TRANSFER GAMES PARTICIPACOES SOCIETARIAS LTDA | 5731532b-c078-438c-b8d3-2d061013c6d8,49463420000101,ZALS TRANSFER GAMES PARTICIPACOES SOCIETARIAS LTDA
STARSPAY EFX FACILITADORA E SERVICOS FINANCEIROS LTDA | be8957b9-36f5-4a99-9e2b-34c3978e60f2,16944045000154,STARSPAY EFX FACILITADORA E SERVICOS FINANCEIROS LTDA
BBN PAY LTDA | f1912404-e0db-4e6d-8b76-b7c265cb3a4a,55977537000106,BBN PAY LTDA
HKPPAY PAGAMENTOS E COBRANCAS LTDA | 560167ed-038b-48a9-a9a0-61a7d0ed1d17,55527975000164,HKPPAY PAGAMENTOS E COBRANCAS LTDA
Brand Force Mastery LTDA | 44708338000178,44708338000178,Brand Force Mastery LTDA
BLISS PAGAMENTOS LTDA | d21907d6-9ed4-4eeb-ae52-e19db7a426f9,31172740000139,BLISS PAGAMENTOS LTDA
PAY BROKERS EFX FACILITADORA D | 34841787000802,34841787000802,PAY BROKERS EFX FACILITADORA D
OKP BET365 | b72f50f9-77f9-406e-a391-4ff817adb641,35210410000141,OKP BET365
F7 JOGOS LTDA | d54e4d86-5b09-447b-98da-19254da7b0cc,57972577000182,F7 JOGOS LTDA
HOPE GAMING LTDA | 6cd018d3-6d30-4ae8-8f3c-88606e1040f5,56264199000110,HOPE GAMING LTDA
PAY BROKERS EFX FACILITADORA DE PAGAMENTOS SA | 411e80f8-88fe-49a6-8b48-9a31a180dc2f,34841787000993,PAY BROKERS EFX FACILITADORA DE PAGAMENTOS SA
JPS INTERMEDIACOES E SERVICOS FINANCEIROS LTDA | 6c714afc-2497-4302-a126-45f457d026d4,47726411000122,JPS INTERMEDIACOES E SERVICOS FINANCEIROS LTDA
JPS INTERMEDIACOES E SERVICOS FINANCEIROS LTDA | f4243489-6adc-468b-9822-787d5e1513bb,47726411000122,JPS INTERMEDIACOES E SERVICOS FINANCEIROS LTDA
NUVEI DO BRASIL LTDA | cb6c1405-b782-4c45-aa50-95560e70812b,13492000000106,NUVEI DO BRASIL LTDA
HKPPAY PAGAMENTOS E COBRANCAS LTDA | 40185538-34ab-4087-a4b3-c972e2a17794,55527975000164,HKPPAY PAGAMENTOS E COBRANCAS LTDA
BYTECH LTDA | da6c6fa1-ef11-4910-9b93-da4e6ce4c8f3,31823471000123,BYTECH LTDA
STARPAYMENT INSTITUICAO DE PAGAMENTO LTDA | 60e7d6d6-f327-4fa5-a6c5-1a27c7b8b141,53498620000169,STARPAYMENT INSTITUICAO DE PAGAMENTO LTDA
Stake Brazil LTDA | 235ba5bf-67c4-4282-8e70-b63fe383ffca,56525936000190,Stake Brazil LTDA
ARKPAGO LTDA | 35832973000171,35832973000171,ARKPAGO LTDA
ZALS TRANSFER GAMES | 49463420000101,49463420000101,ZALS TRANSFER GAMES
ZILS TRANSFER | 49457115000107,49457115000107,ZILS TRANSFER
HKP PAY MEIOS DE PAGAMENTOS LTDA | 2989841e-8f84-4c37-aecf-2f0212856cda,50742495000100,HKP PAY MEIOS DE PAGAMENTOS LTDA
GOLDEN CAT PROCESSAMENTO DE PAGAMENTO LTDA | c68054bd-ae18-4ef3-b79f-14a8ae9510ab,52348833000141,GOLDEN CAT PROCESSAMENTO DE PAGAMENTO LTDA
ARKPAGO LTDA | f6991e51-73bf-48db-a43b-f9a29850d2d3,35832973000171,ARKPAGO LTDA
GOLDEN CAT PROCESSAMENTO DE PAGAMENTO LTDA | bd52378b-963c-4537-8ca1-812ebfefac05,52348833000141,GOLDEN CAT PROCESSAMENTO DE PAGAMENTO LTDA
VANGUARD ENTRETENIMENTO | 0a00dafe-0f8f-4f53-82dc-2c1bd358c379,56885537000130,VANGUARD ENTRETENIMENTO
GAMEWIZ BRASIL LTDA | 56195099000189,56195099000189,GAMEWIZ BRASIL LTDA
PAYVISTA TECH CONSULTORIA FINANCEIRA LTDA | 53793898000169,53793898000169,PAYVISTA TECH CONSULTORIA FINANCEIRA LTDA
rmt.cepay | 57370980000131,57370980000131,rmt.cepay
MANHATTAN SERVICOS FINANCEIROS LTDA | 08ebf61d-64a9-4a26-a17b-5c90aba636fd,19589575000110,MANHATTAN SERVICOS FINANCEIROS LTDA
PAYVISTA TECH CONSULTORIA FINANCEIRA LTDA | 3f41e958-68f6-42e3-802d-973f2b6bc2ec,53793898000169,PAYVISTA TECH CONSULTORIA FINANCEIRA LTDA
